confidence,bounding box,centroid
0.9916436076164246,"(438, 47, 457, 95)","(448, 71)"
0.9898672103881836,"(336, 63, 358, 110)","(347, 87)"
0.9885081052780151,"(414, 345, 458, 391)","(436, 368)"
0.9923737049102783,"(335, 62, 358, 113)","(347, 88)"
0.9913029670715332,"(416, 175, 439, 238)","(428, 207)"
0.9912087321281433,"(259, 85, 280, 134)","(270, 110)"
0.9944741129875183,"(416, 175, 439, 237)","(428, 206)"
0.9903035759925842,"(260, 85, 280, 133)","(270, 109)"
0.9887486696243286,"(336, 62, 360, 113)","(348, 88)"
0.9948300719261169,"(276, 151, 298, 220)","(287, 186)"
0.9911678433418274,"(416, 176, 439, 234)","(428, 205)"
0.9872733950614929,"(247, 228, 273, 293)","(260, 261)"
0.9965268969535828,"(276, 150, 298, 222)","(287, 186)"
0.9881312251091003,"(653, 55, 675, 98)","(664, 77)"
0.9859822988510132,"(510, 257, 551, 320)","(531, 289)"
0.9964185953140259,"(276, 149, 297, 219)","(287, 184)"
0.9945687651634216,"(416, 174, 439, 228)","(428, 201)"
0.994190514087677,"(532, 116, 554, 175)","(543, 146)"
0.996170699596405,"(277, 149, 297, 218)","(287, 184)"
0.995842695236206,"(416, 174, 439, 225)","(428, 200)"
0.9932329654693604,"(533, 117, 555, 179)","(544, 148)"
0.9929364919662476,"(416, 327, 454, 391)","(435, 359)"
0.9919046759605408,"(277, 151, 296, 212)","(287, 182)"
0.9915173053741455,"(537, 177, 567, 234)","(552, 206)"
0.9924130439758301,"(415, 326, 452, 392)","(434, 359)"
0.9924102425575256,"(277, 152, 297, 208)","(287, 180)"
0.991786003112793,"(538, 178, 568, 238)","(553, 208)"
0.9949036240577698,"(277, 147, 297, 210)","(287, 179)"
0.9923114776611328,"(415, 323, 451, 391)","(433, 357)"
0.9901536703109741,"(510, 258, 544, 319)","(527, 289)"
0.996178388595581,"(277, 146, 296, 211)","(287, 179)"
0.9895324110984802,"(415, 322, 451, 388)","(433, 355)"
0.9889533519744873,"(509, 259, 543, 319)","(526, 289)"
0.996035635471344,"(277, 145, 296, 211)","(287, 178)"
0.9911202192306519,"(508, 259, 542, 319)","(525, 289)"
0.9895617961883545,"(260, 76, 279, 126)","(270, 101)"
0.9969683885574341,"(277, 140, 295, 215)","(286, 178)"
0.9909577965736389,"(505, 259, 538, 319)","(522, 289)"
0.9907118678092957,"(336, 69, 357, 116)","(347, 93)"
0.9963966012001038,"(277, 140, 294, 214)","(286, 177)"
0.9930358529090881,"(411, 314, 445, 388)","(428, 351)"
0.990997314453125,"(504, 258, 535, 319)","(520, 289)"
0.9911834597587585,"(412, 313, 444, 388)","(428, 351)"
